Scheme Name,Net Asset Value
Franklin India Corporate Debt Fund - Plan A - Direct - Quarterly - IDCW,13.6655
Franklin India Corporate Debt Fund - Plan B - Half yearly - IDCW,12.8024
Franklin India Corporate Debt Fund - Plan B - Monthly - IDCW,14.9138
Franklin India Corporate Debt Fund - Plan B - Quarterly - IDCW,12.2119
HDFC Corporate Bond Fund - Growth Option,27.5968
HDFC Corporate Bond Fund - Growth Option - Direct Plan,28.0523
HDFC Corporate Bond Fund - IDCW Option,17.8779
HDFC Corporate Bond Fund - IDCW Option - Direct Plan,18.359
HDFC Corporate Bond Fund - Quarterly IDCW Option,10.4638
HDFC Corporate Bond Fund - Quarterly IDCW Option - Direct Plan,10.3037
HSBC Corporate Bond Fund - Direct Annual IDCW,11.9461
HSBC Corporate Bond Fund - Direct Growth,66.3782
HSBC Corporate Bond Fund - Direct Quarterly IDCW,11.5422
HSBC Corporate Bond Fund - Direct Semi Annual IDCW,20.1135
HSBC Corporate Bond Fund - Regular Annual IDCW,11.7702
HSBC Corporate Bond Fund - Regular Growth,62.7647
HSBC Corporate Bond Fund - Regular Quarterly IDCW,11.1906
HSBC Corporate Bond Fund - Regular Semi Annual IDCW,16.9793
HSBC Corporate Bond Fund -Regular Plan - Bonus,23.8415
ICICI Prudential Corporate Bond Fund - Bonus,14.9782
ICICI Prudential Corporate Bond Fund - Daily IDCW,10.1065
ICICI Prudential Corporate Bond Fund - Direct Plan - Daily IDCW,10.1008
ICICI Prudential Corporate Bond Fund - Direct Plan - Fortnightly IDCW,12.1669
ICICI Prudential Corporate Bond Fund - Direct Plan - Growth,26.3811
ICICI Prudential Corporate Bond Fund - Direct Plan - Half Yearly IDCW Option,12.8827
ICICI Prudential Corporate Bond Fund - Direct Plan - Monthly IDCW,10.2707
ICICI Prudential Corporate Bond Fund - Direct Plan - Quarterly IDCW,15.1564
ICICI Prudential Corporate Bond Fund - Direct Plan - Weekly IDCW,10.2332
ICICI Prudential Corporate Bond Fund - Fortnightly IDCW,10.2243
ICICI Prudential Corporate Bond Fund - Growth,25.3043
ICICI Prudential Corporate Bond Fund - Half Yearly IDCW Option,12.6555
ICICI Prudential Corporate Bond Fund - Monthly IDCW,10.4250
ICICI Prudential Corporate Bond Fund - Premium Daily Dividend,10.0277
ICICI Prudential Corporate Bond Fund - Premium Monthly Dividend,10.0770
ICICI Prudential Corporate Bond Fund - Weekly IDCW,10.3040
ICICI Prudential Corporate Bond Fund -Quarterly IDCW,10.9648
ICICI Prudential Corporate Bond Fund Retail Daily Dividend,10.0275
ICICI Prudential Corporate Bond Fund Retail Fort Nightly Dividend,10.3041
ICICI Prudential Corporate Bond Fund Retail Growth,22.7853
